year,week,avg_close_price,avg_open_price,total_volume
2018,25,86.54539947509765,86.60420074462891,414932000
2019,43,88.55669860839843,87.87750091552735,409056000
2019,52,91.50975036621094,90.82500076293945,304194000
2020,7,107.29450073242188,106.99779968261718,395490000
2021,11,154.12220153808593,153.82990112304688,336920000
2021,52,168.97859802246094,170.14309692382812,234494000
2023,51,153.447998046875,152.98599853515626,221826000
2024,43,187.53800354003906,187.67000427246094,137236600
2025,31,228.56999816894532,230.42400207519532,319625700
1998,49,1.631666612625122,1.677812361717224,3012996000
2000,34,1.921250009536743,1.922812581062317,393892000
2002,5,0.7154000043869019,0.7256999850273133,1525988000
2004,19,2.1766000270843504,2.1842000007629396,724276000
2008,14,3.771799993515015,3.707299995422363,781988000
2010,5,5.894200038909912,5.936100006103516,1941376000
2016,22,36.200124740600586,36.01175022125244,265506000
2016,49,38.30489959716797,38.154100036621095,349096000
2023,37,142.85800170898438,141.95800170898437,326841100
2025,20,208.20399780273436,209.30800170898436,277556600
1999,41,4.079062509536743,4.156875085830689,1007710000
1999,48,4.361250019073486,4.495156288146973,1257454000
2000,18,2.8375,2.7931250095367433,604370000
2000,46,1.4150000095367432,1.4287499904632568,612188000
2001,12,0.5112499833106995,0.5274999976158142,578496000
2003,18,1.4477999925613403,1.4345999956130981,1067020000
2004,53,2.2095999717712402,2.1829999685287476,1420856000
2006,4,2.2125,2.2039000511169435,468916000
2006,27,1.857875019311905,1.8822500109672546,330942000
2009,52,6.799375057220459,6.728000044822693,648120000
2013,46,17.967000198364257,17.75999984741211,320590000
2013,47,18.34919967651367,18.377099990844727,226876000
2014,14,16.779399871826172,17.034499740600587,626140000
2014,40,16.028699684143067,16.011799812316895,284824000
2021,7,164.4464988708496,164.1037483215332,264096000
2021,10,152.7552032470703,153.10450134277343,328516000
2007,35,3.925100040435791,3.9377999782562254,571626000
2011,8,8.901124954223633,8.996750116348267,399340000
2015,53,34.1766242980957,34.01887512207031,335744000
2006,28,1.7273000001907348,1.754800009727478,588206000
2006,33,1.4046000003814698,1.382099986076355,729222000
2007,6,1.9223000049591064,1.9107999801635742,733410000
2011,18,9.943199920654298,9.935799980163575,613240000
2002,45,0.9546999931335449,0.9468000054359436,846622000
2009,20,3.7944000720977784,3.8007999897003173,770936000
2011,52,8.71399998664856,8.713750123977661,381990000
2014,47,16.376900100708006,16.370999908447267,390386000
2002,52,1.0409999936819077,1.0689999759197235,858904000
2013,28,14.81659984588623,14.625100135803223,323582000
2020,27,140.10249710083008,138.0634994506836,418998000
2025,22,205.36249923706055,205.46999740600586,149771200
2017,42,49.81990051269531,50.06829986572266,246032000
2004,1,2.5950000286102295,2.638000011444092,132798000
1998,51,2.195729207992554,2.0904166221618654,5383008000
1998,53,2.764062464237213,2.7734375,2107764000
2001,16,0.770799994468689,0.764900016784668,964066000
2001,29,0.8178999900817872,0.8152999997138977,472872000
2006,47,2.1293750405311584,2.124500036239624,391154000
2006,52,1.996999979019165,2.005375027656555,335052000
2007,1,2.607624977827072,2.622499942779541,621968000
2007,23,3.616399955749512,3.5753000259399412,1835134000
2007,38,4.456099987030029,4.430700016021729,643458000
2008,23,4.069799900054932,4.073200035095215,706518000
